Threshold,training accuracy,training precision,training recall,training f1-score,training support,testing accuracy,testing precision,testing recall,testing f1-score,testing support
0.01,0.8881,0.91,0.92,0.9,96,0.888059676,0.9,0.89,0.84,134
0.02,0.6716,0.83,0.83,0.83,0,0.671641767,0.62,0.67,0.61,0
0.03,0.6343,0.86,0.82,0.82,0,0.634328365,0.63,0.63,0.63,0
0.04,0.6045,0.87,0.83,0.84,0,0.604477584,0.6,0.6,0.6,0
0.05,0.694,0.92,0.92,0.92,0,0.694029868,0.65,0.69,0.66,0
0.06,0.8358,0.94,0.94,0.94,0,0.835820913,0.81,0.84,0.82,0
0.07,0.8582,0.95,0.94,0.94,0,0.858208954,0.84,0.86,0.84,0
0.08,0.8881,0.94,0.94,0.92,0,0.888059676,0.79,0.89,0.84,0
0.09,0.8881,0.97,0.97,0.96,0,0.888059676,0.79,0.89,0.84,0
0.1,0.8881,0.97,0.97,0.96,0,0.888059676,0.79,0.89,0.84,0
