PRODUCT_ID,pred
9781783931835,"[('n06359193', 'web_site', 0.56574494)]"
9781743638446,"[('n02786058', 'Band_Aid', 0.42459166)]"
9781743632918,"[('n06596364', 'comic_book', 0.34249753)]"
9781743520710,"[('n06596364', 'comic_book', 0.48871186)]"
9781426372186,"[('n06596364', 'comic_book', 0.61644423)]"
9780593097519,"[('n06596364', 'comic_book', 0.42110074)]"
9780448488615,"[('n04476259', 'tray', 0.10646415)]"
9781845063467,"[('n06596364', 'comic_book', 0.6802592)]"
9781845068134,"[('n06596364', 'comic_book', 0.69725287)]"
9781845068257,"[('n03992509', ""potter's_wheel"", 0.36719254)]"
9780007488308,"[('n03908618', 'pencil_box', 0.45140576)]"
9780007488322,"[('n06596364', 'comic_book', 0.8993336)]"
9780007488346,"[('n03908618', 'pencil_box', 0.5302856)]"
9780007591862,"[('n03871628', 'packet', 0.21454579)]"
9781338819939,"[('n04462240', 'toyshop', 0.8025158)]"
9781338802245,"[('n06596364', 'comic_book', 0.84956896)]"
9781338304602,"[('n06596364', 'comic_book', 0.48436114)]"
9781338347258,"[('n02123394', 'Persian_cat', 0.9446472)]"
9781338538373,"[('n06596364', 'comic_book', 0.6101409)]"
9781338569025,"[('n03916031', 'perfume', 0.42623243)]"
9781338616040,"[('n06596364', 'comic_book', 0.80179423)]"
9781338680669,"[('n06596364', 'comic_book', 0.97758603)]"
9781338680676,"[('n02895154', 'breastplate', 0.6224006)]"
9781338680683,"[('n06359193', 'web_site', 0.21042638)]"
9781338687224,"[('n03871628', 'packet', 0.15599209)]"
9781338726787,"[('n04356056', 'sunglasses', 0.5051752)]"
9781338729382,"[('n06596364', 'comic_book', 0.9864739)]"
9781338745627,"[('n03485794', 'handkerchief', 0.3388514)]"
9781338752335,"[('n03291819', 'envelope', 0.49303073)]"
9781338756876,"[('n06596364', 'comic_book', 0.8315104)]"
9781338756920,"[('n02877765', 'bottlecap', 0.79528594)]"
9781338762518,"[('n02840245', 'binder', 0.23884149)]"
9781368011907,"[('n07248320', 'book_jacket', 0.7862504)]"
9781338801897,"[('n04243546', 'slot', 0.18042794)]"
9781338801903,"[('n06596364', 'comic_book', 0.76970863)]"
9781338745696,"[('n07248320', 'book_jacket', 0.4264868)]"
9780312522070,"[('n03388043', 'fountain', 0.9293527)]"
9780312526573,"[('n07248320', 'book_jacket', 0.9155472)]"
9780312526580,"[('n03871628', 'packet', 0.3359648)]"
9780312526931,"[('n03598930', 'jigsaw_puzzle', 0.36177108)]"
9780312527952,"[('n02782093', 'balloon', 0.27492243)]"
9780312529277,"[('n06596364', 'comic_book', 0.9149711)]"
9780312529383,"[('n04243546', 'slot', 0.69475776)]"
9780312529734,"[('n03908618', 'pencil_box', 0.2779318)]"
9781629912882,"[('n06596364', 'comic_book', 0.83622277)]"
9781629914343,"[('n06596364', 'comic_book', 0.49291217)]"
9781629914787,"[('n07248320', 'book_jacket', 0.546575)]"
9781629916095,"[('n06596364', 'comic_book', 0.4673151)]"
9781629916118,"[('n01768244', 'trilobite', 0.28188422)]"
9781629918242,"[('n03887697', 'paper_towel', 0.2287848)]"
9781629918501,"[('n07565083', 'menu', 0.37447885)]"
9781545801659,"[('n06596364', 'comic_book', 0.8919917)]"
9781545802045,"[('n03871628', 'packet', 0.3634376)]"
9781545802106,"[('n06596364', 'comic_book', 0.9937843)]"
9781545802168,"[('n03871628', 'packet', 0.14582036)]"
9781545802175,"[('n06596364', 'comic_book', 0.4549675)]"
9781545802182,"[('n07248320', 'book_jacket', 0.31933132)]"
9781545802199,"[('n06596364', 'comic_book', 0.7896009)]"
9781545803394,"[('n06359193', 'web_site', 0.7848302)]"
9781545803431,"[('n06596364', 'comic_book', 0.95865536)]"
9781545803578,"[('n07565083', 'menu', 0.30097464)]"
9781545801642,"[('n06596364', 'comic_book', 0.928716)]"
9781684490981,"[('n03598930', 'jigsaw_puzzle', 0.8856068)]"
9780008499778,"[('n06596364', 'comic_book', 0.7003429)]"
9780241476581,"[('n06596364', 'comic_book', 0.99663216)]"
9780241520987,"[('n07248320', 'book_jacket', 0.8313375)]"
9781408890219,"[('n06596364', 'comic_book', 0.99137783)]"
9781405295949,"[('n07248320', 'book_jacket', 0.96620244)]"
9781405297165,"[('n07565083', 'menu', 0.9498689)]"
9781407198507,"[('n06596364', 'comic_book', 0.8900271)]"
9781529129984,"[('n02117135', 'hyena', 0.62942296)]"
9781474995795,"[('n06596364', 'comic_book', 0.6545977)]"
9781474996082,"[('n04462240', 'toyshop', 0.959743)]"
9781474989855,"[('n06596364', 'comic_book', 0.5178482)]"
9781474989886,"[('n06596364', 'comic_book', 0.86875093)]"
9780241534236,"[('n06596364', 'comic_book', 0.76177585)]"
9780008333843,"[('n06596364', 'comic_book', 0.9984371)]"
9780261102217,"[('n06596364', 'comic_book', 0.6377337)]"
9780062894564,"[('n04243546', 'slot', 0.5119318)]"
9781474996099,"[('n03127747', 'crash_helmet', 0.46976206)]"
9781474986397,"[('n04252077', 'snowmobile', 0.8329454)]"
9781474986458,"[('n07248320', 'book_jacket', 0.32849926)]"
9781474953597,"[('n07248320', 'book_jacket', 0.99465066)]"
9781474939584,"[('n06596364', 'comic_book', 0.5829987)]"
9781474967921,"[('n03188531', 'diaper', 0.36454767)]"
9781474968317,"[('n07248320', 'book_jacket', 0.7028859)]"
9781474968386,"[('n02892201', 'brass', 0.28242645)]"
9781465415851,"[('n03871628', 'packet', 0.1690832)]"
9781465479587,"[('n07248320', 'book_jacket', 0.4778997)]"
9781465479648,"[('n03291819', 'envelope', 0.18195854)]"
9781465482228,"[('n06596364', 'comic_book', 0.81999195)]"
9781465489791,"[('n06596364', 'comic_book', 0.98094165)]"
9781465491442,"[('n06359193', 'web_site', 0.47897807)]"
