Threshold,training accuracy,training precision,training recall,training f1-score,training support,testing accuracy,testing precision,testing recall,testing f1-score,testing support
0.01,0.8707,0.91,0.92,0.9,956,0.870682001,0.81,0.87,0.83,1129
0.02,0.6891,0.86,0.87,0.86,956,0.689105392,0.67,0.69,0.68,1129
0.03,0.6572,0.82,0.81,0.81,956,0.657218754,0.66,0.66,0.66,1129
0.04,0.6377,0.82,0.82,0.82,956,0.637732506,0.63,0.64,0.62,1129
0.05,0.6891,0.84,0.84,0.83,956,0.689105392,0.68,0.69,0.68,1129
0.06,0.6997,0.85,0.86,0.85,956,0.699734271,0.7,0.7,0.7,1129
0.07,0.7458,0.87,0.88,0.86,956,0.745792747,0.75,0.75,0.75,1129
0.08,0.791,0.9,0.91,0.9,956,0.790965438,0.81,0.79,0.8,1129
0.09,0.7919,0.93,0.93,0.92,956,0.791851223,0.82,0.79,0.81,1129
0.1,0.7945,0.93,0.93,0.92,956,0.794508398,0.84,0.79,0.81,1129
